"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_369","Y","20s","F","CAU","MA",NA,"","","","Lydia","nopre2","c1","filler","someclimb","yesever2","c2",40,"","exp3b"
"S_369","Y","20s","F","CAU","MA",NA,"","","","Jacob","c2","neg","evenl","grain","evenq","c1",50,"","exp3b"
"S_369","Y","20s","F","CAU","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",0,"","exp3b"
"S_369","Y","20s","F","CAU","MA",NA,"","","","Andrew","c2","neut","mnpi","give","evenpnq","c1",31,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",31,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Jacob","c2","neg","evenl","grain","evenq","c1",95,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Roy","c2","neut2","snpi","ever","pq2","c1",80,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",100,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Sally","c2","neg","evenh","call","pnq","c1",100,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Andrew","c2","neut","mnpi","give","evenpnq","c1",20,"","exp3b"
"S_19","Y","20s","F","ASI","MA",NA,"","","","Lydia","nopre","c1","filler","someclimb","yesever","c2",25,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",90,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",80,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Sally","c2","pos","evenh","praise","evenq","c1",75,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Alice","c2","neut2","mnpi","wink","pq","c1",20,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Roy","c2","neg","snpi","anytime","pnq","c1",85,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Jacob","c2","neut","evenl","grain","evenpnq","c1",80,"","exp3b"
"S_75","Y","30s","M","CAU","RO",NA,"","","","Lydia","nopre2","c1","filler","someclimb","noever2","c2",90,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",52,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",27,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Roy","c2","neut","snpi","anytime","pnq","c1",33,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Matt","c2","neut","evenh","solve","evenq","c1",55,"","exp3b"
"S_177","Y","30s","M","CAU","MW",NA,"","","","Andrew","c2","neg","mnpi","clue","pq","c1",92,"","exp3b"
